gene,entities,proposed_label,mode_of_inheritance,criteria_met,reasoning,decision
FHL1,"['Reducing body myopathy, X-linked 1a, severe, infantile or early childhood onset', 'Reducing body myopathy, X-linked 1b, with late childhood or adult onset', 'Scapuloperoneal myopathy, X-linked dominant']",Reducing body myopathy,X-linked,"['assertions_made', 'molecular_mechanism', 'phenotypic_variability', 'mode_of_inheritance']",SPM kindred was reinterpreted as having reducing bodies; RBM1A/RBM1B share pathological hallmark and LIM2 dominant-negative mechanism with overlapping X-linked dominant/semidominant inheritance.,LUMP
FHL1,"['Emery-Dreifuss muscular dystrophy 6, X-linked', 'Myopathy, X-linked, with postural muscle atrophy']","Emery-Dreifuss muscular dystrophy 6, X-linked",X-linked,"['assertions_made', 'molecular_mechanism', 'phenotypic_variability', 'mode_of_inheritance']","OMIM maps both to the same entry (300696) with overlapping features (contractures, rigid spine, cardiac involvement) and shared isoform-impairing mechanisms without reducing bodies.",LUMP
FHL1,['Uruguay faciocardiomusculoskeletal syndrome'],Uruguay faciocardiomusculoskeletal syndrome,X-linked,"['assertions_made', 'phenotypic_variability']",OMIM describes FCMSU as distinct despite some similarity to XMPMA and attributes a specific splice change causing FHL1C-like shift with a unique faciocardiomusculoskeletal syndrome.,SPLIT
FH,"['Fumarase deficiency', 'Fumaric aciduria']",Fumarate hydratase deficiency,Autosomal recessive,"['assertions', 'molecular_mechanism', 'mode_of_inheritance']",OMIM and GeneReviews describe AR FH deficiency; Orphanet’s 'Fumaric aciduria' refers to the same AR LOF condition. Shared mechanism and management justify lumping.,LUMP
FH,['Hereditary leiomyomatosis and renal cell cancer'],Hereditary leiomyomatosis and renal cell cancer,Autosomal dominant,"['assertions', 'phenotypic_variability', 'mode_of_inheritance']",Consistently asserted as a distinct AD tumor predisposition syndrome with different phenotype and clinical management from AR FH deficiency.,SPLIT
MSH2,"['Lynch syndrome 1', 'Muir-Torre syndrome', 'Lynch syndrome']",Lynch syndrome,Autosomal dominant,"['assertions', 'phenotypic_variability', 'mode_of_inheritance']",GeneReviews includes sebaceous tumors and glioblastoma within Lynch syndrome; OMIM shows Muir-Torre largely due to heterozygous MSH2 variants. Same mechanism (heterozygous LoF) and AD inheritance with variable expressivity support lumping.,LUMP
MSH2,"['Mismatch repair cancer syndrome 2', 'Constitutional mismatch repair deficiency syndrome']",Constitutional mismatch repair deficiency syndrome,Autosomal recessive,"['assertions', 'mode_of_inheritance', 'molecular_mechanism']","OMIM MMRCS2 and Orphanet CMMRD describe the same AR, biallelic MSH2 loss-of-function disorder with early-onset malignancies; these should be unified under a single AR entity.",LUMP
RET,"['Multiple endocrine neoplasia IIA', 'Thyroid carcinoma, familial medullary', 'Pheochromocytoma']",Multiple endocrine neoplasia type 2A,Autosomal dominant,"['assertions', 'molecular_mechanism', 'mode_of_inheritance']","GeneReviews considers FMTC a variant of MEN2A; OMIM shows shared gain-of-function RET mechanisms and overlapping management, with pheochromocytoma as a MEN2A feature.",LUMP
RET,['Multiple endocrine neoplasia IIB'],Multiple endocrine neoplasia IIB,Autosomal dominant,"['assertions', 'phenotypic_variability', 'molecular_mechanism']",Treated as a distinct MEN2 phenotype in GeneReviews with characteristic features and predominant M918T activating variant; clinical course and management differ from MEN2A/FMTC.,SPLIT
RET,"['Hirschsprung disease, susceptibility to, 1']","Hirschsprung disease, susceptibility to, 1",Autosomal dominant,"['molecular_mechanism', 'phenotypic_variability']",Loss-of-function/reduced RET expression and complex susceptibility model contrast with MEN2 gain-of-function; distinct clinical phenotype and management.,SPLIT
SCN8A,"['Developmental and epileptic encephalopathy 13', 'Seizures, benign familial infantile, 5', 'Cognitive impairment with or without cerebellar ataxia', 'Familial myoclonic epilepsy 2']",SCN8A-related epilepsy and/or neurodevelopmental disorders,Autosomal dominant,"['assertions', 'mode_of_inheritance', 'phenotypic_variability', 'molecular_mechanism']","GeneReviews defines a single AD spectrum encompassing DEE, self-limited infantile epilepsy, and neurodevelopmental disorder without epilepsy; mechanisms overlap (GOF/LOF/partial LOF) and variants can yield differing severities.",LUMP
